   1.0000000000000000E+00   9.8341811292737544E-02   1.1975429442907840E+02   4.7166514807215343E-03
   2.0000000000000000E+00   2.0480042614825769E-01   5.7504051362246393E+01   1.9559561054294610E-02
   3.0000000000000000E+00   2.9253508553446911E-01   4.0257920525063668E+01   4.1360497960216021E-02
   4.0000000000000000E+00   3.6538985766706095E-01   3.2230928081671863E+01   6.7878704139434587E-02
   5.0000000000000000E+00   4.4113802525023166E-01   2.6696529317687002E+01   1.0171625876752935E-01
   6.0000000000000000E+00   5.2029749922580415E-01   2.2634846874649913E+01   1.4289512397700421E-01
   7.0000000000000000E+00   5.9805416773232245E-01   1.9691952434499967E+01   1.8965390273985519E-01
   7.7290000000000001E+00   6.5127516658998919E-01   1.8082762599258583E+01   2.2560410844576964E-01
   7.7310000000000008E+00   6.5138121283323747E-01   1.8079818687147792E+01   2.2568148693386045E-01
   8.0000000000000000E+00   6.7272974268141306E-01   1.7506070383179956E+01   2.4089175736874316E-01
   9.0000000000000000E+00   7.4282511359635139E-01   1.5854141181660239E+01   2.9505709257216534E-01
   1.0000000000000000E+01   8.1212501693308425E-01   1.4501282411805969E+01   3.5445344249335098E-01
   1.0399000000000001E+01   8.3748123792766493E-01   1.4062230520388747E+01   3.7781018167570751E-01
   1.0401000000000000E+01   8.3758656180692248E-01   1.4060462239070782E+01   3.7790823516065342E-01
   1.0999000000000001E+01   8.7743511421163700E-01   1.3421908963400327E+01   4.1612874013360823E-01
   1.1000999999999999E+01   8.7751870392431730E-01   1.3420630433941234E+01   4.1621502397534049E-01
   1.2000000000000000E+01   9.4065206207305962E-01   1.2519883492611385E+01   4.8117945859782718E-01
   1.3000000000000000E+01   1.0038443208038350E+00   1.1731753599810144E+01   5.5140869170429185E-01
   1.4000000000000000E+01   1.0639436386276022E+00   1.1069058356728849E+01   6.2330414289633307E-01
   1.5000000000000000E+01   1.1226009831588915E+00   1.0490685827746580E+01   6.9825799940337652E-01
   1.6000000000000000E+01   1.1799299686079576E+00   9.9809772931975811E+00   7.7618516904571311E-01
   1.7000000000000000E+01   1.2369684991183072E+00   9.5207389942700456E+00   8.5839669965830878E-01
   1.8000000000000000E+01   1.2913689008986446E+00   9.1196669023421730E+00   9.4150309978944835E-01
   1.9000000000000000E+01   1.3438174746122817E+00   8.7637305264520524E+00   1.0262542318894490E+00
   2.0000000000000000E+01   1.3941126799401333E+00   8.4475626638336632E+00   1.1121550307970358E+00
   2.1000000000000000E+01   1.4428208876919673E+00   8.1623812939653249E+00   1.2000700284980643E+00
   2.2000000000000000E+01   1.4882914854804901E+00   7.9130024858250394E+00   1.2869070348767679E+00
   2.3000000000000000E+01   1.5311560343974369E+00   7.6914788301598289E+00   1.3734234852420708E+00
   2.4000000000000000E+01   1.5715040233563060E+00   7.4940019555834123E+00   1.4594377118126889E+00
   2.5000000000000000E+01   1.6101592997671454E+00   7.3140926030998790E+00   1.5462656482742905E+00
   2.6000000000000000E+01   1.6461847871548947E+00   7.1540293144084552E+00   1.6315899066372499E+00
   2.7000000000000000E+01   1.6803613883255886E+00   7.0085246578859524E+00   1.7166083329756374E+00
   2.8000000000000000E+01   1.7130388395833107E+00   6.8748319956972059E+00   1.8016981475283766E+00
   2.9000000000000000E+01   1.7449600985044980E+00   6.7490679209986544E+00   1.8882947307164866E+00
   3.0000000000000000E+01   1.7755527684139885E+00   6.6327818771384806E+00   1.9746911263402054E+00
   3.1000000000000000E+01   1.8054551378294730E+00   6.5229281954895599E+00   2.0621407122280950E+00
   3.2000000000000000E+01   1.8349023877783301E+00   6.4182456258605569E+00   2.1510048177832655E+00
   3.3000000000000000E+01   1.8644226036458489E+00   6.3166227448701315E+00   2.2425561855159599E+00
   3.4000000000000000E+01   1.8934512637403960E+00   6.2197820719055166E+00   2.3351124307480626E+00
   3.5000000000000000E+01   1.9223138468724401E+00   6.1263951479099141E+00   2.4294875670317211E+00
   3.6000000000000000E+01   1.9509813860153074E+00   6.0363744670534540E+00   2.5255789419352683E+00
   3.7000000000000000E+01   1.9796480314498053E+00   5.9489636729083202E+00   2.6240401439800909E+00
   3.8000000000000000E+01   2.0076436915205185E+00   5.8660081338038559E+00   2.7228848213181873E+00
   3.9000000000000000E+01   2.0349313014380974E+00   5.7873473251488097E+00   2.8220365323876755E+00
   4.0000000000000000E+01   2.0614148861047368E+00   5.7129956243272222E+00   2.9212663701548287E+00
   4.1000000000000000E+01   2.0866949230905214E+00   5.6437834270460225E+00   3.0192757347349906E+00
   4.2000000000000000E+01   2.1108408651480013E+00   5.5792240991192044E+00   3.1162743969862348E+00
   4.3000000000000000E+01   2.1337695900999418E+00   5.5192717521519059E+00   3.2119390760325865E+00
   4.4000000000000000E+01   2.1550682305949453E+00   5.4647245303171434E+00   3.3046420370444869E+00
   4.5000000000000000E+01   2.1750475565428813E+00   5.4145272312840937E+00   3.3953206768326929E+00
   4.6000000000000000E+01   2.1938432305687008E+00   5.3681384613733290E+00   3.4843018439318478E+00
   4.7000000000000000E+01   2.2115688334642214E+00   5.3251131260481674E+00   3.5718023049355461E+00
   4.8000000000000000E+01   2.2283017937837561E+00   5.2851253169983465E+00   3.6579175143389762E+00
   4.9000000000000000E+01   2.2440653369851278E+00   5.2479997039932034E+00   3.7424874429967714E+00
   5.0000000000000000E+01   2.2586658486411966E+00   5.2140754823579876E+00   3.8244218157173924E+00
   5.1000000000000000E+01   2.2725242488298782E+00   5.1822787942981270E+00   3.9051707346475260E+00
   5.2000000000000000E+01   2.2865737263612593E+00   5.1504371315332413E+00   3.9885604605615574E+00
   5.3000000000000000E+01   2.2997387487378327E+00   5.1209530781280517E+00   4.0697319345747625E+00
   5.4000000000000000E+01   2.3126411043808779E+00   5.0923829910011769E+00   4.1512073653383510E+00
   5.5000000000000000E+01   2.3253730858081059E+00   5.0645009594865531E+00   4.2332787629846393E+00
   5.6000000000000000E+01   2.3379488748190389E+00   5.0372590911128912E+00   4.3159608991188216E+00
   5.7000000000000000E+01   2.3496357471938638E+00   5.0122042271038332E+00   4.3957299849877494E+00
   5.8000000000000000E+01   2.3619200266711493E+00   4.9861358942103822E+00   4.4797355140277393E+00
   5.9000000000000000E+01   2.3737899570210792E+00   4.9612031550670093E+00   4.5632990103300388E+00
   6.0000000000000000E+01   2.3850486196402363E+00   4.9377837110992706E+00   4.6455440429332393E+00
   6.1000000000000000E+01   2.3950501840883271E+00   4.9171638667446977E+00   4.7232296304256680E+00
   6.2000000000000000E+01   2.4050125397143760E+00   4.8967953512782936E+00   4.8026346705901508E+00
   6.3000000000000000E+01   2.4133638580165493E+00   4.8798502493189329E+00   4.8756006323844145E+00
   6.4000000000000000E+01   2.4216751547140398E+00   4.8631023865089835E+00   4.9503407417943182E+00
   6.5000000000000000E+01   2.4283548740797705E+00   4.8497253634324018E+00   5.0182640725920642E+00
   6.6000000000000000E+01   2.4340359253453996E+00   4.8384060816884515E+00   5.0825778515672253E+00
   6.7000000000000000E+01   2.4400114201691325E+00   4.8265570098942536E+00   5.1503527920799170E+00
   6.8000000000000000E+01   2.4442402533784882E+00   4.8182064786639138E+00   5.2100676456100050E+00
   6.9000000000000000E+01   2.4476685980992068E+00   4.8114578229197145E+00   5.2668042823141512E+00
   7.0000000000000000E+01   2.4514385706076105E+00   4.8040584681346363E+00   5.3270863241312059E+00
   7.1000000000000000E+01   2.4537248111218606E+00   4.7995823210732818E+00   5.3801333776458913E+00
   7.2000000000000000E+01   2.4553756140466767E+00   4.7963554565201774E+00   5.4307194281195130E+00
   7.3000000000000000E+01   2.4564658967546458E+00   4.7942266325774456E+00   5.4791450213321147E+00
   7.4000000000000000E+01   2.4570466599006218E+00   4.7930934387366042E+00   5.5255926199806362E+00
   7.5000000000000000E+01   2.4571777542635425E+00   4.7928377195361191E+00   5.5703025610846417E+00
   7.6000000000000000E+01   2.4578541466558534E+00   4.7915187482800397E+00   5.6195088410529408E+00
   7.7000000000000000E+01   2.4572803860451740E+00   4.7926375399078518E+00   5.6617420003154075E+00
   7.8000000000000000E+01   2.4563262241064265E+00   4.7944992438956664E+00   5.7023827226431729E+00
   7.9000000000000000E+01   2.4550370264329318E+00   4.7970169481926899E+00   5.7416259803155993E+00
   7.9998999999999995E+01   2.4534379389526255E+00   4.8001435199403932E+00   5.7795044110685154E+00
   8.0001000000000005E+01   2.4534329833818238E+00   4.8001532155184803E+00   5.7795700331994739E+00
   8.1000000000000000E+01   2.4515486740096573E+00   4.8038427093424163E+00   5.8162144096880546E+00
   8.1998999999999995E+01   2.4494016205522211E+00   4.8080535774220037E+00   5.8516992862882136E+00
   8.2001000000000005E+01   2.4493944520081645E+00   4.8080676489586915E+00   5.8517506231411343E+00
   8.3000000000000000E+01   2.4469842306690155E+00   4.8128034813773679E+00   5.8860059603394266E+00
   8.4000000000000000E+01   2.4434417244273781E+00   4.8197810925894995E+00   5.9128820638255553E+00
