!Unit_cell
4.836	8.376	13.2		! size along X, Y, Z in [A]
2	1	1					! how many unit cells to be used in the supercell: 40	24	7 (403200 atoms)

Unit_cell
4.757999897	8.241100311	12.99100018		! size along X, Y, Z in [A]
2	1	1								! how many unit cells to be used in the supercell


Coordinates
60							! how many atoms
Al	0	0	0.145
Al	0	0	0.355
Al	0	0	0.645
Al	0	0	0.855
Al	0.5	0.16667	0.18833
Al	0.5	0.16667	0.47833
Al	0.5	0.16667	0.68833
Al	0.5	0.16667	0.97833
Al	0.5	0.5	0.145
Al	0.5	0.5	0.355
Al	0.5	0.5	0.645
Al	0.5	0.5	0.855
Al	0.5	0.83333	0.02167
Al	0.5	0.83333	0.31167
Al	0.5	0.83333	0.52167
Al	0.5	0.83333	0.81167
Al	1	0.33333	0.02167
Al	1	0.33333	0.31167
Al	1	0.33333	0.52167
Al	1	0.33333	0.81167
Al	1	0.66667	0.18833
Al	1	0.66667	0.47833
Al	1	0.66667	0.68833
Al	1	0.66667	0.97833
O	0.303	0	0.25
O	0.3485	0.3485	0.25
O	0.697	0	0.75
O	0.1515	0.1515	0.75
O	0.803	0.16667	0.58333
O	0.3485	0.31817	0.58333
O	0.3485	0.01517	0.58333
O	0.197	0.16667	0.08333
O	0.6515	0.01517	0.08333
O	0.6515	0.31817	0.08333
O	0.303	0.33333	0.91667
O	0.1515	0.18183	0.41667
O	0.1515	0.48483	0.41667
O	0.8485	0.1515	0.25
O	0.6515	0.3485	0.75
O	0.8485	0.48483	0.91667
O	0.8485	0.18183	0.91667
O	0.697	0.33333	0.41667
O	0.197	0.5	0.75
O	0.303	0.66667	0.58333
O	0.1515	0.51517	0.08333
O	0.1515	0.81817	0.08333
O	0.803	0.5	0.25
O	0.3485	0.6515	0.25
O	0.8485	0.8485	0.25
O	0.1515	0.8485	0.75
O	0.6515	0.6515	0.75
O	0.8485	0.81817	0.58333
O	0.8485	0.51517	0.58333
O	0.697	0.66667	0.08333
O	0.803	0.83333	0.91667
O	0.3485	0.98483	0.91667
O	0.3485	0.68183	0.91667
O	0.197	0.83333	0.41667
O	0.6515	0.68183	0.41667
O	0.6515	0.98483	0.41667
