   1.0000000000000000E+00   1.2580081526279428E-04   1.0062230638462471E+05
   2.0000000000000000E+00   5.0727117848220840E-04   2.4953848579931549E+04
   3.0000000000000000E+00   1.1568371894224222E-03   1.0942220990603219E+04
   4.0000000000000000E+00   2.0959675174225677E-03   6.0393913892208511E+03
   5.0000000000000000E+00   3.3563733679377915E-03   3.7714422053664307E+03
   6.0000000000000000E+00   4.9818183010954401E-03   2.5409132593264271E+03
   7.0000000000000000E+00   7.0306804654228913E-03   1.8004470888789092E+03
   8.0000000000000000E+00   9.5794683079758365E-03   1.3214061333935556E+03
   8.3190000000000008E+00   1.0513127780833818E-02   1.2040534882383497E+03
   8.3209999999999997E+00   1.0519180971999262E-02   1.2033606238454727E+03
   9.0000000000000000E+00   1.2727560688493903E-02   9.9456356851254338E+02
   1.0000000000000000E+01   1.6603520379668640E-02   7.6239061881773557E+02
   1.0359000000000002E+01   1.8203039396505805E-02   6.9539860355619055E+02
   1.0361000000000001E+01   1.8212288419399654E-02   6.9504544872707027E+02
   1.1000000000000000E+01   2.1373402025426449E-02   5.9224863509092654E+02
   1.2000000000000000E+01   2.7251501934393661E-02   4.6450167067058226E+02
   1.3000000000000000E+01   3.4513880700676007E-02   3.6676165994166297E+02
   1.4000000000000000E+01   4.3514511894697239E-02   2.9089992339661359E+02
   1.5000000000000000E+01   5.4702604422376684E-02   2.3140339130965432E+02
   1.6000000000000000E+01   6.8636575538080002E-02   1.8442598683824946E+02
   1.7000000000000000E+01   8.5983595237644692E-02   1.4721840999812562E+02
   1.8000000000000000E+01   1.0748092964740606E-01   1.1777315490603364E+02
   1.9000000000000000E+01   1.3381408247123697E-01   9.4596681776967273E+01
   2.0000000000000000E+01   1.6534084208442973E-01   7.6559233745432252E+01
   2.0198999999999998E+01   1.7221498381478553E-01   7.3503291620793760E+01
   2.0201000000000001E+01   1.7228501386484205E-01   7.3473414157420422E+01
   2.1000000000000000E+01   2.0158734741439152E-01   6.2793465657283441E+01
   2.2000000000000000E+01   2.4054106910888745E-01   5.2624561051893821E+01
   2.3000000000000000E+01   2.7807672183530685E-01   4.5521135653726084E+01
   2.4000000000000000E+01   3.0828840438896604E-01   4.1060150160034738E+01
   2.5000000000000000E+01   3.2539584910701091E-01   3.8901443308348959E+01
   2.6000000000000000E+01   2.9827175466178885E-01   4.2439044190294908E+01
   2.7000000000000000E+01   2.8068920686576704E-01   4.5097452510391761E+01
   2.8000000000000000E+01   2.5440380331181484E-01   4.9756992670795455E+01
   2.9000000000000000E+01   2.2453459127857456E-01   5.6376026984205446E+01
   3.0000000000000000E+01   1.9489728554145949E-01   6.4948919845862648E+01
   3.1000000000000000E+01   1.6766663898422901E-01   7.5497238171507234E+01
   3.2000000000000000E+01   1.4372571056126893E-01   8.8073095115520857E+01
   3.3000000000000000E+01   1.2322842732050657E-01   1.0272279255731415E+02
   3.4000000000000000E+01   1.0592284875605418E-01   1.1950554885434904E+02
   3.5000000000000000E+01   9.1413961919859094E-02   1.3847302874702896E+02
   3.6000000000000000E+01   7.9284205703188282E-02   1.5965813196384741E+02
   3.7000000000000000E+01   6.9142376852612208E-02   1.8307684452028241E+02
   3.8000000000000000E+01   6.0674852033076952E-02   2.0862627188456491E+02
   3.9000000000000000E+01   5.3576354441164153E-02   2.3626781457684800E+02
   4.0000000000000000E+01   4.7611207175394049E-02   2.6586950694563427E+02
   4.1000000000000000E+01   4.2569118317590610E-02   2.9736035598317073E+02
   4.1999000000000002E+01   3.8314137650677975E-02   3.3038374221596155E+02
   4.2000999999999998E+01   3.8306227356494957E-02   3.3045196696098515E+02
   4.3000000000000000E+01   3.4684728214423560E-02   3.6495509200918309E+02
   4.4000000000000000E+01   3.1570440522247382E-02   4.0095633660506672E+02
   4.4999000000000002E+01   2.8915347258922319E-02   4.3777334103786370E+02
   4.5000999999999998E+01   2.8910369119595249E-02   4.3784872218143710E+02
