   1.0000000000000000E+00   1.3637534791505422E-06   1.6472246306764251E+07
   2.0000000000000000E+00   1.3637519097670827E-06   1.6472265262756694E+07
   3.0000000000000000E+00   1.3637492951124156E-06   1.6472296844283737E+07
   4.0000000000000000E+00   1.3637456359995770E-06   1.6472341041670170E+07
   5.0000000000000000E+00   1.3637409332482500E-06   1.6472397845218262E+07
   5.1389999999999993E+00   1.3637402412449398E-06   1.6472406203801792E+07
   5.1410000000000000E+00   1.3637402312198613E-06   1.6472406324892949E+07
   6.0000000000000000E+00   1.3637351876847366E-06   1.6472467245208004E+07
   7.0000000000000000E+00   1.3637284001419331E-06   1.6472549231897214E+07
   8.0000000000000000E+00   1.3637205714592951E-06   1.6472643795521811E+07
   9.0000000000000000E+00   1.3637117024828103E-06   1.6472750926296005E+07
   1.0000000000000000E+01   1.3637017940649711E-06   1.6472870614412460E+07
   1.1000000000000000E+01   1.3636908470647427E-06   1.6473002850042531E+07
   1.2000000000000000E+01   1.3636788623475371E-06   1.6473147623336399E+07
   1.2968999999999999E+01   1.3636667139055053E-06   1.6473294375228550E+07
   1.2970999999999998E+01   1.3636666882863446E-06   1.6473294684706336E+07
   1.3000000000000000E+01   1.3636658407851783E-06   1.6473304924423372E+07
   1.4000000000000000E+01   1.3636517832558807E-06   1.6473474743411949E+07
   1.5000000000000000E+01   1.3636366906442116E-06   1.6473657070390128E+07
   1.6000000000000000E+01   1.3636205638410653E-06   1.6473851895425569E+07
   1.7000000000000000E+01   1.3636034037436349E-06   1.6474059208565742E+07
   1.8000000000000000E+01   1.3635852112553798E-06   1.6474278999838183E+07
   1.9000000000000000E+01   1.3635659872859953E-06   1.6474511259250689E+07
   2.0000000000000000E+01   1.3635457327513875E-06   1.6474755976791464E+07
   2.1000000000000000E+01   1.3635244485736388E-06   1.6475013142429341E+07
   2.2000000000000000E+01   1.3635021356809778E-06   1.6475282746114010E+07
   2.3000000000000000E+01   1.3634787950077537E-06   1.6475564777776154E+07
   2.4000000000000000E+01   1.3634544274944005E-06   1.6475859227327691E+07
   2.4538999999999998E+01   1.3634410594158516E-06   1.6476020764439082E+07
   2.4541000000000000E+01   1.3634410095073176E-06   1.6476021367525481E+07
   2.5000000000000000E+01   1.3634290340874130E-06   1.6476166084661938E+07
   2.6000000000000000E+01   1.3634026157393096E-06   1.6476485339653827E+07
   2.7000000000000000E+01   1.3633751734086078E-06   1.6476816982160099E+07
   2.8000000000000000E+01   1.3633467080597920E-06   1.6477161002019461E+07
   2.9000000000000000E+01   1.3633172206632828E-06   1.6477517389052831E+07
   3.0000000000000000E+01   1.3632867121954048E-06   1.6477886133063518E+07
   3.1000000000000000E+01   1.3632551836383633E-06   1.6478267223837357E+07
   3.2000000000000000E+01   1.3632226359802022E-06   1.6478660651143018E+07
   3.3000000000000000E+01   1.3631890702147846E-06   1.6479066404732080E+07
   3.3999000000000002E+01   1.3631550878094043E-06   1.6479477206769036E+07
   3.4000999999999998E+01   1.3631544525336217E-06   1.6479484895138294E+07
   3.5000000000000000E+01   1.3631188883665144E-06   1.6479914849682789E+07
   3.6000000000000000E+01   1.3630822743001827E-06   1.6480357520464169E+07
   3.7000000000000000E+01   1.3630446461595754E-06   1.6480812476368796E+07
   3.8000000000000000E+01   1.3630060049671667E-06   1.6481279707065966E+07
   3.9000000000000000E+01   1.3629663517510628E-06   1.6481759202209080E+07
   4.0000000000000000E+01   1.3629256875449660E-06   1.6482250951435883E+07
   4.1000000000000000E+01   1.3628840133881575E-06   1.6482754944368483E+07
   4.2000000000000000E+01   1.3628413303254475E-06   1.6483271170613809E+07
   4.3000000000000000E+01   1.3627976394071559E-06   1.6483799619763609E+07
   4.4000000000000000E+01   1.3627529416890789E-06   1.6484340281394705E+07
   4.5000000000000000E+01   1.3627072382324602E-06   1.6484893145069167E+07
   4.6000000000000000E+01   1.3626605301039562E-06   1.6485458200334495E+07
   4.7000000000000000E+01   1.3626128183756045E-06   1.6486035436723880E+07
   4.8000000000000000E+01   1.3625641041248022E-06   1.6486624843756232E+07
   4.9000000000000000E+01   1.3625143884342598E-06   1.6487226410936572E+07
   5.0000000000000000E+01   1.3624636723919836E-06   1.6487840127756048E+07
   5.1000000000000000E+01   1.3624119570912254E-06   1.6488465983692368E+07
   5.2000000000000000E+01   1.3623592436305022E-06   1.6489103968209362E+07
   5.3000000000000000E+01   1.3623055331134721E-06   1.6489754070758291E+07
   5.4000000000000000E+01   1.3622508266490292E-06   1.6490416280776517E+07
   5.5000000000000000E+01   1.3621951253511456E-06   1.6491090587689223E+07
   5.6000000000000000E+01   1.3621384303389139E-06   1.6491776980908705E+07
   5.7000000000000000E+01   1.3620807427364880E-06   1.6492475449834900E+07
   5.8000000000000000E+01   1.3620220636731069E-06   1.6493185983854903E+07
   5.9000000000000000E+01   1.3619623942829759E-06   1.6493908572344210E+07
   6.0000000000000000E+01   1.3619017357052927E-06   1.6494643204666207E+07
   6.1000000000000000E+01   1.3618400890842043E-06   1.6495389870172512E+07
   6.2000000000000000E+01   1.3617774555687755E-06   1.6496148558203155E+07
   6.3000000000000000E+01   1.3617138363129518E-06   1.6496919258086817E+07
   6.4000000000000000E+01   1.3616492324755413E-06   1.6497701959140882E+07
   6.5000000000000000E+01   1.3615836452201685E-06   1.6498496650671778E+07
   6.5998999999999995E+01   1.3615177132387733E-06   1.6499295562730132E+07
   6.6001000000000005E+01   1.3615170089404991E-06   1.6499304131155757E+07
   6.7000000000000000E+01   1.3614495251339695E-06   1.6500121962335628E+07
